Name;Postanschrift;Hausanschrift;E-Mail;Web;Telefon;Fax
Amtsgericht Alsfeld ;"Amtsgericht Alsfeld 
Postfach 11 64
36291 Alsfeld";"Amtsgericht Alsfeld 
Landgraf-Hermann-Straße 1
36304 Alsfeld";verwaltung@ag-alsfeld.justiz.hessen.de;http://ag-alsfeld-justiz.hessen.de;(06631)8020;(06631)802400
Amtsgericht Altena ;"Amtsgericht Altena 
Postfach 11 53
58741 Altena";"Amtsgericht Altena 
Gerichtsstraße 10
58762 Altena";poststelle@ag-altena.nrw.de;http://www.ag-altena.nrw.de;(02352)20180;(02352)201829
Amtsgericht Altenburg ;"Amtsgericht Altenburg 
Postfach 12 61
04582 Altenburg";"Amtsgericht Altenburg 
Burgstraße 11
04600 Altenburg";Poststelle@agabg.thueringen.de;;(03447)5590;(03447)559111
Amtsgericht Altenkirchen (Westerwald);"Amtsgericht Altenkirchen (Westerwald)
Postfach 11 40
57601 Altenkirchen (Westerwald)";"Amtsgericht Altenkirchen (Westerwald)
Hochstraße 1
57610 Altenkirchen (Westerwald)";AGAK@ko.jm.rlp.de;http://www.AGAK.justiz.rlp.de;(02681)95260;(02681)9526111
Amtsgericht Altötting ;"Amtsgericht Altötting 
Postfach 13 65
84497 Altötting";"Amtsgericht Altötting 
Traunsteiner Straße 1a
84503 Altötting";Poststelle@ag-aoe.bayern.de;http://www.justiz.bayern.de/gericht/ag/aoe/;(08671)50600;(08671)506-0140
Amtsgericht Alzey ;"Amtsgericht Alzey 
Postfach 11 80
55219 Alzey";"Amtsgericht Alzey 
Schloßgasse 32
55232 Alzey";AGAZ@ko.jm.rlp.de;http://www.AGAZ.justiz.rlp.de;(06731)95200;(06731)952020
Amtsgericht Amberg ;"Amtsgericht Amberg 
Postfach 11 62
92201 Amberg";"Amtsgericht Amberg 
Paulanerplatz 4
92224 Amberg";Poststelle@ag-am.bayern.de;http://www.justiz.bayern.de/gericht/ag/am;(09621)6040;(09621)604105
Amtsgericht Andernach;"Amtsgericht Andernach
56624 Andernach";"Amtsgericht Andernach
Koblenzer Straße 6
56626 Andernach";AGAND@ko.jm.rlp.de;http://www.AGAND.justiz.rlp.de;(02632)92590;(02632)925980
Amtsgericht Anklam ;"Amtsgericht Anklam 
Postfach 11 70
17382 Anklam";"Amtsgericht Anklam 
Baustraße 9
17389 Anklam";verwaltung@ab-anklam.mv-justiz.de;;(03971)2520;(03971)252199
Amtsgericht Annaberg ;Amtsgericht Annaberg ;"Amtsgericht Annaberg 
Klosterstraße 12
09456 Annaberg-Buchholz";verwaltung-agana@agana.justiz.sachsen.de;http://www.justiz.sachsen.de;(03733)1310;(03733)131101
Amtsgericht Ansbach ;"Amtsgericht Ansbach 
Postfach 6 09
91511 Ansbach";"Amtsgericht Ansbach 
Promenade 8
91522 Ansbach";Poststelle@ag-an.bayern.de;http://www.justiz.bayern.de/gericht/ag/an;(0981)580;(0981)58405
Amtsgericht Apolda ;"Amtsgericht Apolda 
Postfach 1165
99501 Apolda";"Amtsgericht Apolda 
Jenaer Straße 8
99510 Apolda";Poststelle@agapd.thueringen.de;;(03644)50290;(03644)502933
Amtsgericht Arnsberg ;"Amtsgericht Arnsberg 
Postfach 51 45 u. 51 55
59818 Arnsberg";"Amtsgericht Arnsberg 
Eichholzstraße 4
59821 Arnsberg";poststelle@ag-arnsberg.nrw.de;http://www.ag-arnsberg.nrw.de;(02931)80460;(02931)804777
Amtsgericht Arnstadt ;"Amtsgericht Arnstadt 
Postfach 14 64
99304 Arnstadt";"Amtsgericht Arnstadt 
Längwitzer Straße 26
99310 Arnstadt";Poststelle@agarn.thueringen.de;;(03628)93300;(03628)933033
Amtsgericht Aschaffenburg ;"Amtsgericht Aschaffenburg 
Postfach 10 13 49
63709 Aschaffenburg";"Amtsgericht Aschaffenburg 
Erthalstraße 3
63739 Aschaffenburg";Poststelle@ag-ab.bayern.de;;(06021) 3980;(06021) 398200
Amtsgericht Aschersleben ;"Amtsgericht Aschersleben 
Postfach 12 52
06432 Aschersleben";"Amtsgericht Aschersleben 
Theodor-Römer-Weg 3
06449 Aschersleben";Poststelle@ag-asl.justiz.sachsen-anhalt.de;http://www.justiz.sachsen-anhalt.de/ag-asl;(03473)8800;(03473)880188
Amtsgericht Aue ;"Amtsgericht Aue 
Postfach 11 51
08271 Aue";"Amtsgericht Aue 
Gerichtsstraße 1
08280 Aue";verwaltung-p@agau.justiz.sachsen.de;http://www.justiz.sachsen.de;(03771)5960;(03771)596100
Amtsgericht Auerbach ;"Amtsgericht Auerbach 
Postfach 1287
08202 Auerbach/Vogtl.";"Amtsgericht Auerbach 
Parkstraße 1
08209 Auerbach/Vogtl.";verwaltung-p@agae.justiz.sachsen.de;http://www.amtsgericht-auerbach.de;(03744)8390;(03744)839140
Amtsgericht Augsburg;"Amtsgericht Augsburg
86142 Augsburg";"Amtsgericht Augsburg
Am Alten Einlaß 1
86150 Augsburg";Poststelle@ag-a.bayern.de;http://www.justiz.bayern.de/gericht/ag/a;(0821)31050;(0821)31051200
Amtsgericht Aurich ;"Amtsgericht Aurich 
Postfach 11 33
26581 Aurich";"Amtsgericht Aurich 
Schloßplatz 2
26603 Aurich";Agaur-poststelle@justiz.niedersachsen.de;;(04941)130;(04941)131505
Landgericht  Aachen ;"Landgericht  Aachen 
Postfach 10 19 46
52019 Aachen";"Landgericht  Aachen 
Adalbertsteinweg 92
52070 Aachen";poststelle@lg-aachen.nrw.de;http://www.lg-aachen.nrw.de;(0241)94250;(0241)942580000
Landgericht  Amberg ;"Landgericht  Amberg 
Postfach 17 53
92207 Amberg";"Landgericht  Amberg 
Regierungsstraße 8
92224 Amberg";Poststelle@lg-am.bayern.de;;(09621)3700;(09621)370208
Landgericht  Ansbach ;"Landgericht  Ansbach 
Postfach 6 10
91511 Ansbach";"Landgericht  Ansbach 
Promenade 4
91522 Ansbach";Poststelle@lg-an.bayern.de;http://www.justiz.bayern.de/gericht/lg/an;(0981)580;(0981)58211
Landgericht  Arnsberg ;"Landgericht  Arnsberg 
Postfach 53 52 u. 53 53
59818 Arnsberg";"Landgericht  Arnsberg 
Brückenplatz 7
59821 Arnsberg";poststelle@lg-arnsberg.nrw.de;http://www.lg-arnsberg.nrw.de;(02931)861;(02931)86210
Landgericht  Aschaffenburg ;"Landgericht  Aschaffenburg 
Postfach 10 13 49
63709 Aschaffenburg";"Landgericht  Aschaffenburg 
Erthalstraße 3
63739 Aschaffenburg";Poststelle@lg-ab.bayern.de;http://www.justiz.bayern.de/gericht/lg/ab;(06021) 3980;(06021) 3983000
Landgericht  Augsburg ;"Landgericht  Augsburg 
Postfach 11 01 60
86142 Augsburg";"Landgericht  Augsburg 
Am Alten Einlaß 1
86150 Augsburg";Poststelle@lg-a.bayern.de;http://www.justiz-augsburg.de/lg/index.htm;(0821)31050;(0821)31051200
Landgericht  Aurich ;"Landgericht  Aurich 
Postfach 14 31
26584 Aurich";"Landgericht  Aurich 
Schloßplatz 3
26603 Aurich";Igaur-Poststelle@justiz.niedersachsen.de;http://www.landgericht-aurich.niedersachsen.de;(04941)130;(04941)131616
Amtsgericht Backnang ;"Amtsgericht Backnang 
Postfach 11 03 65
71512 Backnang";"Amtsgericht Backnang 
Stiftshof 11
71522 Backnang";Poststelle@agbacknang.justiz.bwl.de;;(07191) 120;(07191) 12480
Amtsgericht Bad Arolsen ;"Amtsgericht Bad Arolsen 
Postfach 15 80
34445 Bad Arolsen";"Amtsgericht Bad Arolsen 
Rauchstraße 7
34454 Bad Arolsen";verwaltung@ag-badarolsen.justiz.hessen.de;http://www.ag-badarolsen.justiz.hessen.de;(05691)89270;(05691)892727
Amtsgericht Bad Berleburg ;"Amtsgericht Bad Berleburg 
Postfach 10 11 40
57301 Bad Berleburg";"Amtsgericht Bad Berleburg 
Im Herrengarten 5
57319 Bad Berleburg";poststelle@ag-badberleburg.nrw.de;http://www.ag-badberleburg.nrw.de;(02751)92530;(02751)925399
Amtsgericht Bad Doberan ;Amtsgericht Bad Doberan ;"Amtsgericht Bad Doberan 
Verbindungsstraße 4
18209 Bad Doberan";verwaltung@ag-baddoberan.mv-justiz.de;;(038203)7020;(038203)70210
Amtsgericht Bad Dürkheim ;"Amtsgericht Bad Dürkheim 
Postfach 15 64
67089 Bad Dürkheim";"Amtsgericht Bad Dürkheim 
Seebacher Straße 2
67098 Bad Dürkheim";AGDUW@zw.jm.rlp.de;http://www.AGDUW.justiz.rlp.de;(06322)9650;(06322)965118
Amtsgericht Bad Freienwalde ;"Amtsgericht Bad Freienwalde 
Postfach 11 53
16251 Bad Freienwalde";"Amtsgericht Bad Freienwalde 
Viktor-Blüthgen-Straße 9
16259 Bad Freienwalde";verwaltung@AGFRW.BRANDENBURG.DE;http://www.ag-badfreienwalde.brandenburg.de;(03344)4720;(03344)47259
Amtsgericht Bad Gandersheim ;"Amtsgericht Bad Gandersheim 
Postfach 1371
37577 Bad Gandersheim";"Amtsgericht Bad Gandersheim 
Am Plan 3b
37581 Bad Gandersheim";poststelle@ag-gan.niedersachsen.de;http://www.amtsgericht-bad-gandersheim.niedersachsen.de;(05382)9310;(05382)931139
Amtsgericht Bad Hersfeld ;"Amtsgericht Bad Hersfeld 
Postfach 11 52
36221 Bad Hersfeld";"Amtsgericht Bad Hersfeld 
Dudenstraße 10
36251 Bad Hersfeld";verwaltung@ag-badhersfeld.justiz.hessen.de;http://www.ag-badhersfeld.justiz.hessen.de;(06621)2030;(06621)203402
Amtsgericht Bad Homburg vor der Höhe;"Amtsgericht Bad Homburg vor der Höhe
Postfach 11 41
61281 Bad Homburg v.d.H.";"Amtsgericht Bad Homburg vor der Höhe
Auf der Steinkaut 10-12
61352 Bad Homburg v.d.H.";verwaltung@ag-badhomburg.justiz.hessen.de;http://www.ag-badhomburg.justiz.hessen.de;(06172)4050;(06172)405139
Amtsgericht Bad Iburg ;"Amtsgericht Bad Iburg 
Postfach 12 53
49181 Bad Iburg";"Amtsgericht Bad Iburg 
Schloß
49186 Bad Iburg";agibg-poststelle@justiz.niedersachsen.de;http://www.amtsgericht-bad-iburg.niedersachsen.de;(05403)73020;(05403)7302100
Amtsgericht Bad Kissingen ;"Amtsgericht Bad Kissingen 
Postfach 11 20
97661 Bad Kissingen";"Amtsgericht Bad Kissingen 
Maxstraße 27
97688 Bad Kissingen";Poststelle@ag-kg.bayern.de;http://www.justiz.bayern.de/gericht/ag/kg;(0971)82080;(0971)8208101
Amtsgericht Bad Kreuznach ;"Amtsgericht Bad Kreuznach 
Postfach 16 49
55506 Bad Kreuznach";"Amtsgericht Bad Kreuznach 
Ringstraße 79
55543 Bad Kreuznach";AGKH@ko.jm.rlp.de;http://www.AGKH.justiz.rlp.de;(0671)7080;(0671)708272
Amtsgericht Bad Liebenwerda ;"Amtsgericht Bad Liebenwerda 
Postfach 64
04921 Bad Liebenwerda";"Amtsgericht Bad Liebenwerda 
Burgplatz 4
04924 Bad Liebenwerda";verwaltung@AGLIB.BRANDENBURG.DE;http://www.ag-badliebenwerda.brandenburg.de;(035341)6040;(035341)12129
Amtsgericht Bad Mergentheim ;Amtsgericht Bad Mergentheim ;"Amtsgericht Bad Mergentheim 
Schloss 5
97980 Bad Mergentheim";Poststelle@agmergentheim.justiz.bwl.de;;(07931) 5300;(07931) 530369
Amtsgericht Bad Neuenahr-Ahrweiler;"Amtsgericht Bad Neuenahr-Ahrweiler
Postfach 11 69
53456 Bad Neuenahr-Ahrweiler";"Amtsgericht Bad Neuenahr-Ahrweiler
Wilhelmstraße 55/57
53474 Bad Neuenahr-Ahrweiler";AGAW@ko.jm.rlp.de;http://www.AGAW.justiz.rlp.de;(02641)9710;(02641)971100
Amtsgericht Bad Neustadt a. d. Saale ;"Amtsgericht Bad Neustadt a. d. Saale 
Postfach 11 04
97615 Bad Neustadt a. d. Saale";"Amtsgericht Bad Neustadt a. d. Saale 
Rathausgasse 4
97616 Bad Neustadt a. d. Saale";Poststelle@ag-nes.bayern.de;;(09771)62140;(09771)621451
Amtsgericht Bad Oeynhausen;"Amtsgericht Bad Oeynhausen
32543 Bad Oeynhausen";"Amtsgericht Bad Oeynhausen
Bismarckstraße 12
32545 Bad Oeynhausen";poststelle@ag-badoeynhausen.nrw.de;http://www.ag-badoeynhausen.nrw.de;(05731)1580;(05731)158250
Amtsgericht Bad Säckingen ;"Amtsgericht Bad Säckingen 
Postfach 12 45
79703 Bad Säckingen";"Amtsgericht Bad Säckingen 
Hauensteinstraße 9
79713 Bad Säckingen";Poststelle@agbadsaeckingen.justiz.bwl.de;;(07761) 5660;(07761) 566267
Amtsgericht Bad Salzungen ;"Amtsgericht Bad Salzungen 
Postfach 11 63
36421 Bad Salzungen";"Amtsgericht Bad Salzungen 
Kirchplatz 6-8
36433 Bad Salzungen";Poststelle@agslz.thueringen.de;;(03695)55660;(03695)556611
Amtsgericht Bad Saulgau;"Amtsgericht Bad Saulgau
Postfach
88340 Bad Saulgau";"Amtsgericht Bad Saulgau
Schützenstraße 14
88348 Bad Saulgau";Poststelle@agbadsaulgau.justiz.bwl.de;;(07581) 48300;(07581) 483040
Amtsgericht Bad Schwalbach;"Amtsgericht Bad Schwalbach
Postfach 11 54
65301 Bad Schwalbach";"Amtsgericht Bad Schwalbach
Am Kurpark 12
65307 Bad Schwalbach";verwaltung@ag-badschwalbach.justiz.hessen.de;http://www.ag-badschwalbach.justiz.hessen.de;(06124)70690;(06124)706957
Amtsgericht Bad Segeberg ;Amtsgericht Bad Segeberg ;"Amtsgericht Bad Segeberg 
Am Kalkberg 18
23795 Bad Segeberg";verwaltung@ag-segeberg.landsh.de;http://www.ag-segeberg.schleswig-holstein.de;(04551)9000;(04551)900190
Amtsgericht Bad Sobernheim;"Amtsgericht Bad Sobernheim
55562 Bad Sobernheim";"Amtsgericht Bad Sobernheim
Gymnasialstraße 11
55566 Bad Sobernheim";AGSOB@ko.jm.rlp.de;http://www.AGSOB.justiz.rlp.de;(06751)93130;(06751)931350
Amtsgericht Bad Urach ;"Amtsgericht Bad Urach 
Postfach 11 64
72562 Bad Urach";"Amtsgericht Bad Urach 
Beim Schloss 1
72574 Bad Urach";Poststelle@agbadurach.justiz.bwl.de;;(07125) 1580;(07125) 158449
Amtsgericht Bad Waldsee ;Amtsgericht Bad Waldsee ;"Amtsgericht Bad Waldsee 
Wurzacher Straße 73
88339 Bad Waldsee";Poststelle@agwaldsee.justiz.bwl.de;;(07524) 97660;(07524) 9766222
Amtsgericht Baden-Baden ;"Amtsgericht Baden-Baden 
Postfach 2140
76491 Baden-Baden";"Amtsgericht Baden-Baden 
Gutenbergstraße 17
76532 Baden-Baden";Poststelle@agbaden-baden.justiz.bwl.de;;(07221) 6850;(07221) 685292
Amtsgericht Balingen ;"Amtsgericht Balingen 
Postfach 10 01 51
72301 Balingen";"Amtsgericht Balingen 
Ebertstraße 20
72336 Balingen";Poststelle@agbalingen.justiz.bwl.de;;(07433) 970;(07433) 972599
Amtsgericht Bamberg ;"Amtsgericht Bamberg 
Postfach 17 29
96008 Bamberg";"Amtsgericht Bamberg 
Synagogenplatz 1
96047 Bamberg";Poststelle@ag-ba.bayern.de;http://www.justiz.bayern.de/gericht/ag-ba/;(0951) 8330;(0951) 8332070
Amtsgericht Bautzen ;"Amtsgericht Bautzen 
Postfach 17 20
02607 Bautzen";"Amtsgericht Bautzen 
Lessingstraße 7
02625 Bautzen";vewaltung-p@agbz.justiz.sachsen.de;http://www.justiz.sachsen.de;(03591)3610;(03591)361599
Amtsgericht Bayreuth ;Amtsgericht Bayreuth ;"Amtsgericht Bayreuth 
Wilhelminenstraße 7
95444 Bayreuth";Poststelle@ag-bt.bayern.de;http://www.justiz.bayern.de/gericht/ag/bt;(0921) 5040;(0921) 504509
Amtsgericht Beckum ;"Amtsgericht Beckum 
Postfach 11 51
59241 Beckum";"Amtsgericht Beckum 
Elisabethstraße 15/17
59269 Beckum";poststelle@ag-beckum.nrw.de;http://www.ag-beckum.nrw.de;(02521)93510;(02521)9351120
Amtsgericht Bensheim;"Amtsgericht Bensheim
Postfach 11 51
64601 Bensheim";"Amtsgericht Bensheim
Wilhelmstraße 26
64625 Bensheim";verwaltung@ag-bensheim.justiz.hessen.de;http://www.ag-bensheim.justiz.hessen.de;(06251)10020;(06251)100233
Amtsgericht Bergen ;"Amtsgericht Bergen 
Postfach 11 61
18521 Bergen";"Amtsgericht Bergen 
Schulstraße 1
18528 Bergen";verwaltung@ag-bergen.mv-justiz.de;;(03838)80440;(03838)252576
Amtsgericht Bergheim ;"Amtsgericht Bergheim 
Postfach 11 49
50101 Bergheim";"Amtsgericht Bergheim 
Kennedystraße 2
50126 Bergheim";poststelle@ag-bergheim.nrw.de;http://www.ag-bergheim.nrw.de;(02271)8090;(02271)809200
Amtsgericht Bergisch Gladbach ;"Amtsgericht Bergisch Gladbach 
Postfach 10 01 51
51401 Bergisch Gladbach";"Amtsgericht Bergisch Gladbach 
Schloßstraße 21
51429 Bergisch Gladbach";poststelle@ag-bergischgladbach.nrw.de;http://www.ag-bergischgladbach.nrw.de;(02204)95290;(02204)9529180
Amtsgericht Bernau ;"Amtsgericht Bernau 
Postfach 11 74
16311 Bernau";"Amtsgericht Bernau 
Breitscheidstr. 50
16321 Bernau";verwaltung@AGBER.BRANDENBURG.DE;http://www.ag-bernau.brandenburg.de;(03338)70800;(03338)7080143
Amtsgericht Bernburg ;"Amtsgericht Bernburg 
Postfach 11 54
06391 Bernburg (Saale)";"Amtsgericht Bernburg 
Liebknechtstraße 2
06406 Bernburg (Saale)";Poststelle@ag-bbg.justiz.sachsen.anhalt.de;http://www.justiz.sachsen-anhalt.de/ag-bbg;(03471)3773;(03471)377441
Amtsgericht Bernkastel-Kues ;"Amtsgericht Bernkastel-Kues 
Postfach 12 80
54469 Bernkastel-Kues";"Amtsgericht Bernkastel-Kues 
Brüningstraße 30
54470 Bernkastel-Kues";AGBER@ko.jm.rlp.de;http://www.mjv.rlp.de/Gerichte/Ordentliche-Gerichte/Amtsgerichte/Bernkastel-Kues/;(06531)590;(06531)59176
Amtsgericht Bersenbrück ;"Amtsgericht Bersenbrück 
Postfach 11 29
49587 Bersenbrück";"Amtsgericht Bersenbrück 
Stiftshof 8
49593 Bersenbrück";agbsb-Poststelle@justiz.niedersachsen.de;http://www.amtsgericht-bersenbrueck.niedersachsen.de;(05439)6080;(05439)608200
Amtsgericht Besigheim ;Amtsgericht Besigheim ;"Amtsgericht Besigheim 
Amtsgerichtsgasse 5
74354 Besigheim";Poststelle@agbesigheim.justiz.bwl.de;;(07143) 83330;(07143) 833340
Amtsgericht Betzdorf ;"Amtsgericht Betzdorf 
Postfach 1 09
57517 Betzdorf";"Amtsgericht Betzdorf 
Friedrichstraße 17
57518 Betzdorf";AGBD@ko.jm.rlp.de;http://www.mjv.rlp.de/Gerichte/Ordentliche-Gerichte/Amtsgerichte/Betzdorf/;(02741)9270;(02741)927111
Amtsgericht Biberach a. d. Riß ;"Amtsgericht Biberach a. d. Riß 
Postfach
88382 Biberach a. d. Riß";"Amtsgericht Biberach a. d. Riß 
Alter Postplatz 4
88400 Biberach a. d. Riß";Postelle@agbiberach.justiz.bwl.de;;(07351) 590;(07351) 59529
Amtsgericht Biedenkopf ;"Amtsgericht Biedenkopf 
Postfach 11 61
35201 Biedenkopf";"Amtsgericht Biedenkopf 
Hainstraße 72
35216 Biedenkopf";verwaltung@ag-biedenkopf.justiz.hessen.de;http://www.ag-biedenkopf.justiz.hessen.de;(06461)70020;(06461)700240
Amtsgericht Bielefeld ;"Amtsgericht Bielefeld 
Postfach 10 02 87
33502 Bielefeld";"Amtsgericht Bielefeld 
Gerichtstraße 6
33602 Bielefeld";poststelle@ag-bielefeld.nrw.de;http://www.ag-bielefeld.nrw.de;(0521)5490;(0521)5492538
Amtsgericht Bingen am Rhein ;"Amtsgericht Bingen am Rhein 
Postfach 11 51
55409 Bingen am Rhein";"Amtsgericht Bingen am Rhein 
Mainzer Straße 52
55411 Bingen am Rhein";AGBI@ko.jm.rlp.de;http://http://www.mjv.rlp.de/Gerichte/Ordentliche-Gerichte/Amtsgerichte/Bingen/;(06721)9080;(06721)908170
Amtsgericht Bitburg ;"Amtsgericht Bitburg 
Postfach 11 51
54621 Bitburg";"Amtsgericht Bitburg 
Gerichtsstraße 2/4
54634 Bitburg";AGBIT@ko.jm.rlp.de;http://www.mjv.rlp.de/Gerichte/Ordentliche-Gerichte/Amtsgerichte/Bitburg/;(06561)9130;(06561)913199
Amtsgericht Bitterfeld-Wolfen ;"Amtsgericht Bitterfeld-Wolfen 
Postfach 13 54
06733 Bitterfeld-Wolfen";"Amtsgericht Bitterfeld-Wolfen 
Lindenstraße 9
06749 Bitterfeld-Wolfen";Poststelle@ag-btf.justiz.sachsen-anhalt.de;http://www.justiz.sachsen-anhalt.de/ag-btf;(03493)3640;(03493)364165
Amtsgericht Bitterfeld-Wolfen Außenstelle Familien-, Zivilprozeß-, Zwangsversteigerungs- und Vollstreckungssachen;Amtsgericht Bitterfeld-Wolfen Außenstelle Familien-, Zivilprozeß-, Zwangsversteigerungs- und Vollstreckungssachen;"Amtsgericht Bitterfeld-Wolfen Außenstelle Familien-, Zivilprozeß-, Zwangsversteigerungs- und Vollstreckungssachen
Lindenstraße 14
06749 Bitterfeld-Wolfen";-;;(03493)3640;(03493)364437
Amtsgericht Bitterfeld-Wolfen Außenstelle Nachlass-,Vormundschafts- und Betreuungssachen ;Amtsgericht Bitterfeld-Wolfen Außenstelle Nachlass-,Vormundschafts- und Betreuungssachen ;"Amtsgericht Bitterfeld-Wolfen Außenstelle Nachlass-,Vormundschafts- und Betreuungssachen 
Lindenstraße 4
06749 Bitterfeld-Wolfen";-;;(03493)3640;(03493)364316
Amtsgericht Blomberg ;"Amtsgericht Blomberg 
Postfach 11 41
32817 Blomberg";"Amtsgericht Blomberg 
Kolberger Straße 1
32825 Blomberg";poststelle@ag-blomberg.nrw.de;http://www.ag-blomberg.nrw.de;(05235)96940;(05235)969414
Amtsgericht Böblingen ;"Amtsgericht Böblingen 
Postfach 11 60
71001 Böblingen";"Amtsgericht Böblingen 
Steinbeisstraße 7
71034 Böblingen";Poststelle@agboeblingen.justiz.bwl.de;;(07031) 1302;(07031) 134999
Amtsgericht Bocholt ;"Amtsgericht Bocholt 
Postfach 11 64
46361 Bocholt";"Amtsgericht Bocholt 
Benölkenplatz 2
46399 Bocholt";poststelle@ag-bocholt.nrw.de;http://www.ag-bocholt.nrw.de;(02871)2950;(02871)2951000
Amtsgericht Bochum ;"Amtsgericht Bochum 
Postfach 10 01 70
44701 Bochum";"Amtsgericht Bochum 
Viktoriastraße 14
44787 Bochum";poststelle@ag-bochum.nrw.de;http://www.ag-bochum.nrw.de;(0234)9670;(0234)9672424
Amtsgericht Bonn;"Amtsgericht Bonn
53105 Bonn";"Amtsgericht Bonn
Wilhelmstraße 21-23
53111 Bonn";poststelle@ag-bonn.nrw.de;http://www.ag-bonn.nrw.de;(0228)7020;(0228)7022906
Amtsgericht Borken;"Amtsgericht Borken
Postfach 11 62
46301 Borken";"Amtsgericht Borken
Heidener Straße 3
46325 Borken";poststelle@ag-borken.nrw.de;http://www.ag-borken.nrw.de;(02861)8990;(02861)899156
Amtsgericht Borna ;Amtsgericht Borna ;"Amtsgericht Borna 
Am Gericht 2
04552 Borna";verwaltung-agbrn@agbrn.justiz.sachsen.de;http://www.justiz.sachsen.de;(03433)27550;(03433)275599
Amtsgericht Bottrop ;"Amtsgericht Bottrop 
Postfach 10 01 01 u.10 01 65
46201 Bottrop";"Amtsgericht Bottrop 
Gerichtsstraße 24-26
46236 Bottrop";poststelle@ag-bottrop.nrw.de;http://www.ag-bottrop.nrw.de;(02041)779970;(02041)77997100
Amtsgericht Brackenheim ;Amtsgericht Brackenheim ;"Amtsgericht Brackenheim 
Schlossplatz 2
74336 Brackenheim";Poststelle@agbrackenheim.justiz.bwl.de;;(07135)98780;(07135)6640
Amtsgericht Brake (Unterweser);"Amtsgericht Brake (Unterweser)
Postfach 11 51
26911 Brake (Unterweser)";"Amtsgericht Brake (Unterweser)
Bürgermeister-Müller-Straße 34
26919 Brake (Unterweser)";Agbra-poststelle@justiz.niedersachsen.de;;(04401)1090;(04401)109111
Amtsgericht Brakel ;"Amtsgericht Brakel 
Postfach 12 51
33027 Brakel";"Amtsgericht Brakel 
Nieheimer Straße 17
33034 Brakel";poststelle@ag-brakel.nrw.de;http://www.ag-brakel.nrw.de;(05272)37470;05272)374770
Amtsgericht Brandenburg an der Havel;"Amtsgericht Brandenburg an der Havel
Postfach 11 37
14731 Brandenburg an der Havel";"Amtsgericht Brandenburg an der Havel
Magdeburger Straße 51
14770 Brandenburg";verwaltung@AGBRB.BRANDENBURG.DE;http://www.arbg-brandenburg.brandenburg.de;(03381)398400;(03381)398499
